epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,685.232,0.90031,0.94943,0.00529,0.7854,0.79135,0.87541,0.74698,0.59235,0.79618,0.00664,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,706.305,0.87636,0.96522,0.00589,0.85056,0.76918,0.87888,0.75082,0.62641,0.78736,0.00694,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,727.691,0.79699,0.87945,0.00539,0.82985,0.79096,0.86927,0.73793,0.60307,0.71498,0.00657,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,748.76,0.83624,0.84252,0.0061,0.85253,0.78378,0.8811,0.7441,0.60708,0.80567,0.00662,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,770.051,0.82014,0.83487,0.00549,0.82561,0.86486,0.86081,0.72635,0.59794,0.70316,0.00659,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,791.129,0.79093,0.86384,0.00584,0.81355,0.82553,0.87848,0.75019,0.58916,0.74021,0.00667,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,812.608,0.78681,0.86404,0.0051,0.78923,0.86027,0.86779,0.72805,0.64694,0.68909,0.00723,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,834.018,0.82341,0.85002,0.00567,0.88457,0.72973,0.88523,0.75506,0.6161,0.70415,0.00726,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,855.046,0.77365,0.77476,0.00576,0.81245,0.86486,0.89664,0.75938,0.60891,0.73611,0.00704,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,876.067,0.83534,0.82105,0.00566,0.8132,0.82363,0.88307,0.74576,0.61084,0.82884,0.00708,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,897.283,0.84203,0.77432,0.00525,0.84633,0.81873,0.89379,0.75425,0.60557,0.77289,0.00685,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
