epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,26.7377,1.23594,1.70402,1.04831,0.5787,0.70649,0.69149,0.47096,1.42373,1.77273,1.07278,0.00353467,0.00117822,0.00353467,0.00117822,0.00353467,0.00117822,0.00353467,0.00117822
31,27.5608,1.27427,1.7575,1.05194,0.71843,0.70675,0.71317,0.48312,1.43756,1.73466,1.07944,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575
32,28.366,1.18833,1.76506,1.06058,0.71477,0.68939,0.71403,0.49987,1.4067,1.73089,1.06796,0.00351982,0.00117327,0.00351982,0.00117327,0.00351982,0.00117327,0.00351982,0.00117327
33,29.1981,1.16277,1.77402,1.03354,0.74671,0.81219,0.79508,0.55562,1.38186,1.59729,1.05864,0.0035124,0.0011708,0.0035124,0.0011708,0.0035124,0.0011708,0.0035124,0.0011708
34,29.9781,1.12529,1.57703,1.03381,0.74771,0.83333,0.83063,0.57238,1.39696,1.58694,1.06248,0.00350497,0.00116833,0.00350497,0.00116833,0.00350497,0.00116833,0.00350497,0.00116833
35,30.7971,1.14179,1.55833,1.0419,0.88153,0.83333,0.87831,0.6063,1.37844,1.53385,1.05437,0.00349755,0.00116585,0.00349755,0.00116585,0.00349755,0.00116585,0.00349755,0.00116585
36,31.6197,1.14069,1.51716,1.00586,0.96735,0.79099,0.88919,0.59253,1.38778,1.51479,1.06511,0.00349012,0.00116337,0.00349012,0.00116337,0.00349012,0.00116337,0.00349012,0.00116337
37,32.3862,1.13537,1.62442,1.05383,0.95759,0.80303,0.90361,0.61373,1.35296,1.48827,1.05737,0.0034827,0.0011609,0.0034827,0.0011609,0.0034827,0.0011609,0.0034827,0.0011609
38,33.2098,1.1206,1.4837,1.05204,0.97274,0.80149,0.90614,0.61273,1.32316,1.41254,1.0587,0.00347527,0.00115843,0.00347527,0.00115843,0.00347527,0.00115843,0.00347527,0.00115843
39,34.0327,1.11345,1.54616,1.06256,0.93623,0.80303,0.8978,0.61184,1.28232,1.37073,1.04376,0.00346785,0.00115595,0.00346785,0.00115595,0.00346785,0.00115595,0.00346785,0.00115595
40,34.8037,1.12352,1.50048,1.04143,0.91913,0.82403,0.92114,0.62312,1.24507,1.33326,1.03279,0.00346043,0.00115348,0.00346043,0.00115348,0.00346043,0.00115348,0.00346043,0.00115348
41,35.6317,1.01702,1.41147,0.98629,0.94524,0.88846,0.97583,0.64807,1.23435,1.32157,1.02758,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151
42,36.4148,1.07768,1.43442,0.99955,0.92338,0.80303,0.89528,0.58642,1.25341,1.32888,1.03755,0.00344558,0.00114853,0.00344558,0.00114853,0.00344558,0.00114853,0.00344558,0.00114853
43,37.2453,1.04368,1.49659,1.02994,0.9465,0.89518,0.9925,0.65205,1.20536,1.27999,1.01862,0.00343815,0.00114605,0.00343815,0.00114605,0.00343815,0.00114605,0.00343815,0.00114605
44,38.0792,1.06389,1.34259,1.00402,0.95143,0.89401,0.9925,0.62429,1.19733,1.23632,1.01654,0.00343072,0.00114357,0.00343072,0.00114357,0.00343072,0.00114357,0.00343072,0.00114357
45,38.8502,1.04041,1.30189,1.00345,0.92932,0.79429,0.91287,0.59205,1.23287,1.2399,1.02998,0.0034233,0.0011411,0.0034233,0.0011411,0.0034233,0.0011411,0.0034233,0.0011411
46,39.6666,1.03501,1.42032,1.0175,0.92665,0.79525,0.89872,0.57788,1.26086,1.25926,1.03926,0.00341588,0.00113863,0.00341588,0.00113863,0.00341588,0.00113863,0.00341588,0.00113863
47,40.4852,1.02354,1.33064,0.97818,0.93217,0.80269,0.94177,0.61133,1.23707,1.24188,1.02278,0.00340845,0.00113615,0.00340845,0.00113615,0.00340845,0.00113615,0.00340845,0.00113615
48,41.2722,1.08633,1.33317,0.99672,0.91928,0.82505,0.94639,0.62189,1.26167,1.23549,1.03446,0.00340103,0.00113368,0.00340103,0.00113368,0.00340103,0.00113368,0.00340103,0.00113368
49,42.0964,1.09283,1.35347,0.99489,0.97758,0.88415,0.97833,0.6188,1.28621,1.23472,1.03764,0.0033936,0.0011312,0.0033936,0.0011312,0.0033936,0.0011312,0.0033936,0.0011312
50,42.8739,1.12519,1.38469,1.02484,0.91393,0.94812,0.995,0.61721,1.30728,1.21693,1.0516,0.00338617,0.00112873,0.00338617,0.00112873,0.00338617,0.00112873,0.00338617,0.00112873
51,43.6917,1.0181,1.33982,1.03821,0.91739,0.9819,0.995,0.65148,1.30672,1.18635,1.04624,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625
52,44.5097,1.01678,1.41,1.01704,0.91887,0.9823,0.995,0.65489,1.308,1.16056,1.04745,0.00337133,0.00112378,0.00337133,0.00112378,0.00337133,0.00112378,0.00337133,0.00112378
53,45.2881,1.03974,1.34191,1.01477,0.92408,0.98029,0.995,0.65317,1.29406,1.16676,1.04409,0.0033639,0.0011213,0.0033639,0.0011213,0.0033639,0.0011213,0.0033639,0.0011213
54,46.112,1.0973,1.33229,1.02387,0.95389,0.91608,0.97833,0.64554,1.26742,1.1702,1.03363,0.00335647,0.00111882,0.00335647,0.00111882,0.00335647,0.00111882,0.00335647,0.00111882
55,46.9315,0.97172,1.28721,0.972,0.93658,0.97448,0.995,0.65853,1.26439,1.15695,1.03144,0.00334905,0.00111635,0.00334905,0.00111635,0.00334905,0.00111635,0.00334905,0.00111635
56,47.7249,0.98825,1.31664,0.98452,0.94915,0.97102,0.995,0.64964,1.27219,1.1337,1.03694,0.00334162,0.00111388,0.00334162,0.00111388,0.00334162,0.00111388,0.00334162,0.00111388
57,48.5442,0.98709,1.28474,0.99009,0.95283,0.98372,0.995,0.66482,1.26408,1.08225,1.03827,0.0033342,0.0011114,0.0033342,0.0011114,0.0033342,0.0011114,0.0033342,0.0011114
58,49.3251,1.0515,1.34952,1.02477,0.95512,0.98654,0.995,0.66344,1.262,1.06636,1.03447,0.00332678,0.00110892,0.00332678,0.00110892,0.00332678,0.00110892,0.00332678,0.00110892
59,50.1402,1.07555,1.3348,1.03257,0.95637,0.99861,0.995,0.6509,1.23471,1.04605,1.03903,0.00331935,0.00110645,0.00331935,0.00110645,0.00331935,0.00110645,0.00331935,0.00110645
60,50.9532,0.97617,1.18619,0.97614,0.95,1,0.995,0.65247,1.23682,1.02806,1.04447,0.00331192,0.00110397,0.00331192,0.00110397,0.00331192,0.00110397,0.00331192,0.00110397
61,51.7238,0.97238,1.23932,0.97444,0.95402,1,0.995,0.67854,1.24823,1.01859,1.05299,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015
62,52.5562,0.99056,1.28212,1.00018,0.96894,0.99765,0.995,0.65591,1.24525,1.02452,1.05931,0.00329708,0.00109903,0.00329708,0.00109903,0.00329708,0.00109903,0.00329708,0.00109903
63,53.3683,0.94028,1.15688,0.98219,0.96724,0.99483,0.995,0.65499,1.23043,1.00831,1.05606,0.00328965,0.00109655,0.00328965,0.00109655,0.00328965,0.00109655,0.00328965,0.00109655
64,54.1385,0.91856,1.12571,0.97266,0.96292,0.99475,0.995,0.64302,1.24518,0.99934,1.05516,0.00328223,0.00109408,0.00328223,0.00109408,0.00328223,0.00109408,0.00328223,0.00109408
65,54.9534,0.90317,1.13312,0.95326,0.95796,0.99514,0.995,0.66629,1.21924,1.02432,1.04156,0.0032748,0.0010916,0.0032748,0.0010916,0.0032748,0.0010916,0.0032748,0.0010916
66,55.7238,0.99577,1.18121,0.9728,0.9601,0.99551,0.995,0.65807,1.23629,1.03541,1.04352,0.00326737,0.00108913,0.00326737,0.00108913,0.00326737,0.00108913,0.00326737,0.00108913
67,56.5387,0.98104,1.19123,0.99283,0.96247,0.99585,0.995,0.63309,1.29369,1.05644,1.07116,0.00325995,0.00108665,0.00325995,0.00108665,0.00325995,0.00108665,0.00325995,0.00108665
68,57.3577,0.89279,1.16065,0.94454,0.97296,1,0.995,0.64317,1.27913,1.06715,1.06533,0.00325253,0.00108417,0.00325253,0.00108417,0.00325253,0.00108417,0.00325253,0.00108417
69,58.1291,0.88308,1.14588,0.94572,0.9778,1,0.995,0.63276,1.26659,1.06334,1.05828,0.0032451,0.0010817,0.0032451,0.0010817,0.0032451,0.0010817,0.0032451,0.0010817
70,58.9416,0.87759,1.12503,0.94263,0.98152,1,0.995,0.63824,1.2331,1.04254,1.04658,0.00323768,0.00107923,0.00323768,0.00107923,0.00323768,0.00107923,0.00323768,0.00107923
71,59.7561,0.97591,1.18543,0.99629,0.98561,1,0.995,0.65252,1.24722,1.04084,1.04539,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675
72,60.5241,0.96277,1.19831,0.98719,0.98322,1,0.995,0.64615,1.24608,1.04108,1.04613,0.00322282,0.00107427,0.00322282,0.00107427,0.00322282,0.00107427,0.00322282,0.00107427
73,61.3415,0.88474,1.17894,0.95098,0.98756,0.99822,0.995,0.62902,1.23374,0.98289,1.04268,0.0032154,0.0010718,0.0032154,0.0010718,0.0032154,0.0010718,0.0032154,0.0010718
74,62.1116,0.89965,1.22022,0.9452,0.98928,1,0.995,0.63314,1.23669,0.97506,1.04973,0.00320798,0.00106933,0.00320798,0.00106933,0.00320798,0.00106933,0.00320798,0.00106933
75,62.9297,0.89668,1.10805,0.93525,0.98694,1,0.995,0.62905,1.23194,0.9825,1.0564,0.00320055,0.00106685,0.00320055,0.00106685,0.00320055,0.00106685,0.00320055,0.00106685
