epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,20.7382,0.85759,1.2209,0.94382,0.82063,0.80303,0.74525,0.38843,2.02777,1.19605,2.10504,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873
31,21.3303,0.81079,1.15982,0.95007,0.82127,0.80303,0.74508,0.40091,2.01342,1.24097,2.1095,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
32,21.9222,0.82711,1.25262,0.96986,0.82265,0.80303,0.73788,0.41077,2.0092,1.22464,2.16649,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044
33,22.512,0.95802,1.24784,0.99297,0.82105,0.80303,0.74626,0.39576,2.03043,1.1761,2.2565,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
34,23.1022,0.88094,1.19617,0.97605,0.82014,0.80303,0.73988,0.37294,2.06874,1.25684,2.22707,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146
35,23.7415,0.8044,1.06466,0.94265,0.8184,0.80303,0.73131,0.36422,2.08259,1.3322,2.27681,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
36,24.3325,0.82375,1.12154,0.93557,0.81777,0.80303,0.7463,0.35514,2.10719,1.34876,2.29388,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851
37,24.923,0.87705,1.13717,0.96139,0.81767,0.80303,0.74634,0.35752,2.09827,1.37676,2.28809,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
38,25.5153,0.77198,1.13161,0.91455,0.81712,0.80303,0.74456,0.3536,2.07519,1.39891,2.27161,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557,0.00271667,0.000905557
39,26.1951,0.81099,1.1328,0.9338,0.81714,0.80303,0.76814,0.36963,2.02875,1.35815,2.23671,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
40,26.7832,0.93257,1.20583,1.00342,0.82056,0.80303,0.76971,0.37879,2.01921,1.37243,2.23579,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263
41,27.3734,0.88575,1.24172,0.98134,0.82172,0.80303,0.76006,0.37084,2.10983,1.24985,2.33826,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
42,27.9644,0.82699,1.12711,0.92771,0.82136,0.80303,0.76006,0.3747,2.1156,1.20822,2.33275,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969
43,28.6031,0.77031,1.1126,0.91242,0.82449,0.80303,0.75867,0.3707,2.16172,1.2428,2.38541,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
44,29.197,0.8074,1.14858,0.94348,0.82673,0.80303,0.75974,0.37898,2.15729,1.24818,2.3992,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675
45,29.7859,0.78253,1.13858,0.91272,0.82509,0.80303,0.769,0.37021,2.16085,1.28314,2.39382,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
46,30.3752,0.73004,1.17237,0.94914,0.82408,0.80303,0.77111,0.38065,2.13655,1.3146,2.36398,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238
47,30.9637,0.86308,1.19986,0.92683,0.82381,0.80303,0.76714,0.38219,2.09254,1.46104,2.32782,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
48,31.5563,0.80411,1.10478,0.94058,0.82488,0.80303,0.77111,0.38899,2.08455,1.46228,2.34426,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086
49,32.2369,0.72485,1.08292,0.91716,0.79378,0.77273,0.71395,0.37514,2.13493,1.29916,2.41403,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
50,32.828,0.78418,1.14772,0.92932,0.8272,0.80056,0.7433,0.3666,2.14256,1.27283,2.42607,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792
51,33.4649,0.82971,1.18027,0.96528,0.82211,0.79882,0.73453,0.3667,2.15095,1.25361,2.47764,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
52,34.0561,0.83962,1.20289,0.95062,0.81961,0.79829,0.7365,0.37992,2.12182,1.24946,2.45501,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498
53,34.6468,0.72519,1.04471,0.92314,0.81895,0.79842,0.7368,0.37286,2.10865,1.23013,2.44688,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
54,35.2411,0.73664,1.09071,0.94273,0.81493,0.79835,0.73797,0.37076,2.13516,1.23276,2.47648,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204
55,35.8324,0.76635,1.10208,0.92065,0.81496,0.79964,0.7365,0.36788,2.16084,1.25511,2.51329,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
56,36.423,0.83153,1.16,0.96006,0.8162,0.80192,0.7365,0.36592,2.15056,1.23471,2.50453,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909
57,37.0161,0.76847,1.12249,0.90297,0.81358,0.80303,0.74303,0.36733,2.13827,1.22595,2.48281,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
58,37.6062,0.77352,1.04881,0.94512,0.81298,0.80303,0.74378,0.37099,2.11342,1.20094,2.45738,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615
59,38.2461,0.79227,1.03935,0.91036,0.81694,0.80303,0.74721,0.37311,2.06818,1.16486,2.42476,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
60,38.84,0.78577,1.03025,0.92188,0.81799,0.80303,0.75028,0.36608,2.10501,1.18997,2.46483,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321
61,39.5242,0.78563,1.04464,0.93646,0.8175,0.80303,0.75109,0.37075,2.07826,1.17974,2.45292,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
62,40.1146,0.80525,1.02259,0.92551,0.81887,0.80303,0.75524,0.37281,2.0836,1.19841,2.46767,0.00169808,0.000566027,0.00169808,0.000566027,0.00169808,0.000566027,0.00169808,0.000566027
63,40.7038,0.74607,1.02996,0.89617,0.82009,0.80303,0.76294,0.37866,2.12142,1.2136,2.5182,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
64,41.296,0.78409,1.04358,0.93541,0.82123,0.80303,0.76417,0.38158,2.13565,1.21885,2.53869,0.0016132,0.000537733,0.0016132,0.000537733,0.0016132,0.000537733,0.0016132,0.000537733
65,41.8883,0.76928,1.07339,0.94304,0.82125,0.80303,0.76417,0.36781,2.15707,1.25594,2.57325,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
66,42.4804,0.70936,0.98535,0.91652,0.82039,0.80303,0.76294,0.36356,2.14917,1.23743,2.56025,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438
67,43.1151,0.75343,1.03119,0.93841,0.81941,0.80303,0.76556,0.36842,2.15077,1.20772,2.57392,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
68,43.7066,0.71356,0.98317,0.89268,0.82024,0.80303,0.76714,0.37333,2.15591,1.22698,2.57485,0.00144343,0.000481144,0.00144343,0.000481144,0.00144343,0.000481144,0.00144343,0.000481144
69,44.2937,0.75817,1.022,0.93645,0.82038,0.80303,0.76714,0.37149,2.14893,1.23676,2.57271,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
70,44.8838,0.75789,1.02902,0.91625,0.82069,0.80303,0.76897,0.36743,2.12391,1.21373,2.525,0.00135855,0.00045285,0.00135855,0.00045285,0.00135855,0.00045285,0.00135855,0.00045285
